,Date,Crime type,County,Amount
118,2003Q1,Theft offences,Louth,1378
119,2003Q1,Theft offences,Mayo,668
120,2003Q1,Theft offences,Meath,1089
121,2003Q1,Theft offences,Monaghan,387
122,2003Q1,Theft offences,Offaly,623
123,2003Q1,Theft offences,Roscommon,254
124,2003Q1,Theft offences,Sligo,248
125,2003Q1,Theft offences,Tipperary,942
126,2003Q1,Theft offences,Waterford,1590
127,2003Q1,Theft offences,Westmeath,1080
128,2003Q1,Theft offences,Wexford,906
129,2003Q1,Theft offences,Wicklow,1534
130,2003Q1,Traffic offences,Carlow,50
131,2003Q1,Traffic offences,Cavan,62
132,2003Q1,Traffic offences,Clare,36
133,2003Q1,Traffic offences,Cork,270
134,2003Q1,Traffic offences,Donegal,87
135,2003Q1,Traffic offences,Dublin,728
136,2003Q1,Traffic offences,Galway,127
137,2003Q1,Traffic offences,Kerry,107
138,2003Q1,Traffic offences,Kildare,112
139,2003Q1,Traffic offences,Kilkenny,50
140,2003Q1,Traffic offences,Laois,45
141,2003Q1,Traffic offences,Leitrim,26
142,2003Q1,Traffic offences,Limerick,102
143,2003Q1,Traffic offences,Longford,30
144,2003Q1,Traffic offences,Louth,124
145,2003Q1,Traffic offences,Mayo,100
146,2003Q1,Traffic offences,Meath,95
147,2003Q1,Traffic offences,Monaghan,62
148,2003Q1,Traffic offences,Offaly,45
149,2003Q1,Traffic offences,Roscommon,30
150,2003Q1,Traffic offences,Sligo,26
151,2003Q1,Traffic offences,Tipperary,84
152,2003Q1,Traffic offences,Waterford,111
153,2003Q1,Traffic offences,Westmeath,42
154,2003Q1,Traffic offences,Wexford,75
155,2003Q1,Traffic offences,Wicklow,83
156,2003Q1,Weapon offences,Carlow,31
157,2003Q1,Weapon offences,Cavan,6
158,2003Q1,Weapon offences,Clare,14
159,2003Q1,Weapon offences,Cork,89
160,2003Q1,Weapon offences,Donegal,16
161,2003Q1,Weapon offences,Dublin,481
162,2003Q1,Weapon offences,Galway,54
163,2003Q1,Weapon offences,Kerry,10
164,2003Q1,Weapon offences,Kildare,20
165,2003Q1,Weapon offences,Kilkenny,31
166,2003Q1,Weapon offences,Laois,7
167,2003Q1,Weapon offences,Leitrim,7
168,2003Q1,Weapon offences,Limerick,84
169,2003Q1,Weapon offences,Longford,3
170,2003Q1,Weapon offences,Louth,20
171,2003Q1,Weapon offences,Mayo,8
172,2003Q1,Weapon offences,Meath,9
173,2003Q1,Weapon offences,Monaghan,6
174,2003Q1,Weapon offences,Offaly,7
175,2003Q1,Weapon offences,Roscommon,3
176,2003Q1,Weapon offences,Sligo,7
177,2003Q1,Weapon offences,Tipperary,28
178,2003Q1,Weapon offences,Waterford,35
179,2003Q1,Weapon offences,Westmeath,21
180,2003Q1,Weapon offences,Wexford,26
181,2003Q1,Weapon offences,Wicklow,16
182,2003Q2,Crimes affecting personal safety,Carlow,215
183,2003Q2,Crimes affecting personal safety,Cavan,313
184,2003Q2,Crimes affecting personal safety,Clare,425
185,2003Q2,Crimes affecting personal safety,Cork,2226
186,2003Q2,Crimes affecting personal safety,Donegal,822
187,2003Q2,Crimes affecting personal safety,Dublin,6310
188,2003Q2,Crimes affecting personal safety,Galway,815
189,2003Q2,Crimes affecting personal safety,Kerry,459
190,2003Q2,Crimes affecting personal safety,Kildare,757
191,2003Q2,Crimes affecting personal safety,Kilkenny,215
192,2003Q2,Crimes affecting personal safety,Laois,243
193,2003Q2,Crimes affecting personal safety,Leitrim,242
194,2003Q2,Crimes affecting personal safety,Limerick,1082
195,2003Q2,Crimes affecting personal safety,Longford,166
196,2003Q2,Crimes affecting personal safety,Louth,696
197,2003Q2,Crimes affecting personal safety,Mayo,522
198,2003Q2,Crimes affecting personal safety,Meath,362
199,2003Q2,Crimes affecting personal safety,Monaghan,313
200,2003Q2,Crimes affecting personal safety,Offaly,243
201,2003Q2,Crimes affecting personal safety,Roscommon,166
202,2003Q2,Crimes affecting personal safety,Sligo,242
203,2003Q2,Crimes affecting personal safety,Tipperary,519
204,2003Q2,Crimes affecting personal safety,Waterford,547
205,2003Q2,Crimes affecting personal safety,Westmeath,397
206,2003Q2,Crimes affecting personal safety,Wexford,454
207,2003Q2,Crimes affecting personal safety,Wicklow,499
208,2003Q2,Drug offences,Carlow,133
209,2003Q2,Drug offences,Cavan,24
210,2003Q2,Drug offences,Clare,84
211,2003Q2,Drug offences,Cork,626
212,2003Q2,Drug offences,Donegal,172
213,2003Q2,Drug offences,Dublin,1718
214,2003Q2,Drug offences,Galway,178
215,2003Q2,Drug offences,Kerry,102
216,2003Q2,Drug offences,Kildare,232
217,2003Q2,Drug offences,Kilkenny,133
218,2003Q2,Drug offences,Laois,63
219,2003Q2,Drug offences,Leitrim,30
220,2003Q2,Drug offences,Limerick,228
221,2003Q2,Drug offences,Longford,28
222,2003Q2,Drug offences,Louth,98
223,2003Q2,Drug offences,Mayo,57
224,2003Q2,Drug offences,Meath,56
225,2003Q2,Drug offences,Monaghan,24
