"STATISTIC Label","Quarter","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2014Q3","Donegal County Council","Number","63"
"New Dwelling Completion","2014Q3","Fingal County Council","Number","152"
"New Dwelling Completion","2014Q3","Galway County Council","Number","72"
"New Dwelling Completion","2014Q3","Galway City Council","Number","12"
"New Dwelling Completion","2014Q3","Kildare County Council","Number","75"
"New Dwelling Completion","2014Q3","Kilkenny County Council","Number","25"
"New Dwelling Completion","2014Q3","Kerry County Council","Number","44"
"New Dwelling Completion","2014Q3","Longford County Council","Number","15"
"New Dwelling Completion","2014Q3","Louth County Council","Number","46"
"New Dwelling Completion","2014Q3","Limerick City & County Council","Number","38"
"New Dwelling Completion","2014Q3","Leitrim County Council","Number","8"
"New Dwelling Completion","2014Q3","Laois County Council","Number","15"
"New Dwelling Completion","2014Q3","Meath County Council","Number","61"
"New Dwelling Completion","2014Q3","Monaghan County Council","Number","21"
"New Dwelling Completion","2014Q3","Mayo County Council","Number","45"
"New Dwelling Completion","2014Q3","Offaly County Council","Number","22"
"New Dwelling Completion","2014Q3","Roscommon County Council","Number","17"
"New Dwelling Completion","2014Q3","South Dublin County Council","Number","60"
"New Dwelling Completion","2014Q3","Sligo County Council","Number","12"
"New Dwelling Completion","2014Q3","Tipperary County Council","Number","34"
"New Dwelling Completion","2014Q3","Waterford City & County Council","Number","12"
"New Dwelling Completion","2014Q3","Westmeath County Council","Number","15"
"New Dwelling Completion","2014Q3","Wicklow County Council","Number","36"
"New Dwelling Completion","2014Q3","Wexford County Council","Number","51"
"New Dwelling Completion","2014Q4","Cork City Council","Number","20"
"New Dwelling Completion","2014Q4","Clare County Council","Number","44"
"New Dwelling Completion","2014Q4","Cavan County Council","Number","32"
"New Dwelling Completion","2014Q4","Cork County Council","Number","157"
"New Dwelling Completion","2014Q4","Carlow County Council","Number","12"
"New Dwelling Completion","2014Q4","Dublin City Council","Number","102"
"New Dwelling Completion","2014Q4","Dún Laoghaire Rathdown County Council","Number","184"
"New Dwelling Completion","2014Q4","Donegal County Council","Number","76"
"New Dwelling Completion","2014Q4","Fingal County Council","Number","178"
"New Dwelling Completion","2014Q4","Galway County Council","Number","67"
"New Dwelling Completion","2014Q4","Galway City Council","Number","11"
"New Dwelling Completion","2014Q4","Kildare County Council","Number","102"
"New Dwelling Completion","2014Q4","Kilkenny County Council","Number","36"
"New Dwelling Completion","2014Q4","Kerry County Council","Number","52"
"New Dwelling Completion","2014Q4","Longford County Council","Number","14"
"New Dwelling Completion","2014Q4","Louth County Council","Number","44"
"New Dwelling Completion","2014Q4","Limerick City & County Council","Number","28"
"New Dwelling Completion","2014Q4","Leitrim County Council","Number","14"
"New Dwelling Completion","2014Q4","Laois County Council","Number","25"
"New Dwelling Completion","2014Q4","Meath County Council","Number","71"
"New Dwelling Completion","2014Q4","Monaghan County Council","Number","23"
"New Dwelling Completion","2014Q4","Mayo County Council","Number","51"
"New Dwelling Completion","2014Q4","Offaly County Council","Number","20"
"New Dwelling Completion","2014Q4","Roscommon County Council","Number","23"
"New Dwelling Completion","2014Q4","South Dublin County Council","Number","70"
"New Dwelling Completion","2014Q4","Sligo County Council","Number","18"
"New Dwelling Completion","2014Q4","Tipperary County Council","Number","38"
"New Dwelling Completion","2014Q4","Waterford City & County Council","Number","34"
"New Dwelling Completion","2014Q4","Westmeath County Council","Number","34"
"New Dwelling Completion","2014Q4","Wicklow County Council","Number","54"
"New Dwelling Completion","2014Q4","Wexford County Council","Number","68"
"New Dwelling Completion","2015Q1","Cork City Council","Number","30"
"New Dwelling Completion","2015Q1","Clare County Council","Number","22"
"New Dwelling Completion","2015Q1","Cavan County Council","Number","17"
"New Dwelling Completion","2015Q1","Cork County Council","Number","108"
"New Dwelling Completion","2015Q1","Carlow County Council","Number","17"
"New Dwelling Completion","2015Q1","Dublin City Council","Number","132"
"New Dwelling Completion","2015Q1","Dún Laoghaire Rathdown County Council","Number","63"
"New Dwelling Completion","2015Q1","Donegal County Council","Number","51"
"New Dwelling Completion","2015Q1","Fingal County Council","Number","180"
"New Dwelling Completion","2015Q1","Galway County Council","Number","63"
"New Dwelling Completion","2015Q1","Galway City Council","Number","10"
"New Dwelling Completion","2015Q1","Kildare County Council","Number","107"
"New Dwelling Completion","2015Q1","Kilkenny County Council","Number","18"
"New Dwelling Completion","2015Q1","Kerry County Council","Number","30"
"New Dwelling Completion","2015Q1","Longford County Council","Number","6"
"New Dwelling Completion","2015Q1","Louth County Council","Number","67"
"New Dwelling Completion","2015Q1","Limerick City & County Council","Number","36"
"New Dwelling Completion","2015Q1","Leitrim County Council","Number","11"
"New Dwelling Completion","2015Q1","Laois County Council","Number","16"
"New Dwelling Completion","2015Q1","Meath County Council","Number","53"
"New Dwelling Completion","2015Q1","Monaghan County Council","Number","21"
"New Dwelling Completion","2015Q1","Mayo County Council","Number","36"
"New Dwelling Completion","2015Q1","Offaly County Council","Number","17"
"New Dwelling Completion","2015Q1","Roscommon County Council","Number","10"
"New Dwelling Completion","2015Q1","South Dublin County Council","Number","70"
"New Dwelling Completion","2015Q1","Sligo County Council","Number","16"
"New Dwelling Completion","2015Q1","Tipperary County Council","Number","36"
"New Dwelling Completion","2015Q1","Waterford City & County Council","Number","17"
"New Dwelling Completion","2015Q1","Westmeath County Council","Number","11"
"New Dwelling Completion","2015Q1","Wicklow County Council","Number","51"
"New Dwelling Completion","2015Q1","Wexford County Council","Number","49"
"New Dwelling Completion","2015Q2","Cork City Council","Number","36"
"New Dwelling Completion","2015Q2","Clare County Council","Number","39"
"New Dwelling Completion","2015Q2","Cavan County Council","Number","12"
"New Dwelling Completion","2015Q2","Cork County Council","Number","141"
"New Dwelling Completion","2015Q2","Carlow County Council","Number","15"
"New Dwelling Completion","2015Q2","Dublin City Council","Number","95"
"New Dwelling Completion","2015Q2","Dún Laoghaire Rathdown County Council","Number","54"
"New Dwelling Completion","2015Q2","Donegal County Council","Number","67"
"New Dwelling Completion","2015Q2","Fingal County Council","Number","239"
"New Dwelling Completion","2015Q2","Galway County Council","Number","74"
"New Dwelling Completion","2015Q2","Galway City Council","Number","15"
"New Dwelling Completion","2015Q2","Kildare County Council","Number","145"
"New Dwelling Completion","2015Q2","Kilkenny County Council","Number","23"
"New Dwelling Completion","2015Q2","Kerry County Council","Number","40"
"New Dwelling Completion","2015Q2","Longford County Council","Number","19"
"New Dwelling Completion","2015Q2","Louth County Council","Number","27"
"New Dwelling Completion","2015Q2","Limerick City & County Council","Number","33"
"New Dwelling Completion","2015Q2","Leitrim County Council","Number","10"
"New Dwelling Completion","2015Q2","Laois County Council","Number","21"
"New Dwelling Completion","2015Q2","Meath County Council","Number","78"
"New Dwelling Completion","2015Q2","Monaghan County Council","Number","26"
"New Dwelling Completion","2015Q2","Mayo County Council","Number","44"
"New Dwelling Completion","2015Q2","Offaly County Council","Number","21"
"New Dwelling Completion","2015Q2","Roscommon County Council","Number","24"
"New Dwelling Completion","2015Q2","South Dublin County Council","Number","50"
"New Dwelling Completion","2015Q2","Sligo County Council","Number","9"
"New Dwelling Completion","2015Q2","Tipperary County Council","Number","38"
"New Dwelling Completion","2015Q2","Waterford City & County Council","Number","42"
"New Dwelling Completion","2015Q2","Westmeath County Council","Number","20"
"New Dwelling Completion","2015Q2","Wicklow County Council","Number","60"
"New Dwelling Completion","2015Q2","Wexford County Council","Number","53"
"New Dwelling Completion","2015Q3","Cork City Council","Number","33"
"New Dwelling Completion","2015Q3","Clare County Council","Number","34"
"New Dwelling Completion","2015Q3","Cavan County Council","Number","24"
"New Dwelling Completion","2015Q3","Cork County Council","Number","162"
"New Dwelling Completion","2015Q3","Carlow County Council","Number","34"
"New Dwelling Completion","2015Q3","Dublin City Council","Number","112"
"New Dwelling Completion","2015Q3","Dún Laoghaire Rathdown County Council","Number","92"
"New Dwelling Completion","2015Q3","Donegal County Council","Number","58"
"New Dwelling Completion","2015Q3","Fingal County Council","Number","263"
"New Dwelling Completion","2015Q3","Galway County Council","Number","99"
"New Dwelling Completion","2015Q3","Galway City Council","Number","14"
"New Dwelling Completion","2015Q3","Kildare County Council","Number","163"
"New Dwelling Completion","2015Q3","Kilkenny County Council","Number","33"
"New Dwelling Completion","2015Q3","Kerry County Council","Number","57"
"New Dwelling Completion","2015Q3","Longford County Council","Number","13"
"New Dwelling Completion","2015Q3","Louth County Council","Number","30"
"New Dwelling Completion","2015Q3","Limerick City & County Council","Number","64"
"New Dwelling Completion","2015Q3","Leitrim County Council","Number","17"
"New Dwelling Completion","2015Q3","Laois County Council","Number","25"
"New Dwelling Completion","2015Q3","Meath County Council","Number","88"
"New Dwelling Completion","2015Q3","Monaghan County Council","Number","28"
"New Dwelling Completion","2015Q3","Mayo County Council","Number","65"
"New Dwelling Completion","2015Q3","Offaly County Council","Number","54"
"New Dwelling Completion","2015Q3","Roscommon County Council","Number","20"
"New Dwelling Completion","2015Q3","South Dublin County Council","Number","96"
"New Dwelling Completion","2015Q3","Sligo County Council","Number","22"
"New Dwelling Completion","2015Q3","Tipperary County Council","Number","44"
"New Dwelling Completion","2015Q3","Waterford City & County Council","Number","94"
"New Dwelling Completion","2015Q3","Westmeath County Council","Number","26"
"New Dwelling Completion","2015Q3","Wicklow County Council","Number","102"
"New Dwelling Completion","2015Q3","Wexford County Council","Number","67"
"New Dwelling Completion","2015Q4","Cork City Council","Number","93"
"New Dwelling Completion","2015Q4","Clare County Council","Number","51"
"New Dwelling Completion","2015Q4","Cavan County Council","Number","38"
"New Dwelling Completion","2015Q4","Cork County Council","Number","175"
"New Dwelling Completion","2015Q4","Carlow County Council","Number","33"
"New Dwelling Completion","2015Q4","Dublin City Council","Number","146"
"New Dwelling Completion","2015Q4","Dún Laoghaire Rathdown County Council","Number","86"
"New Dwelling Completion","2015Q4","Donegal County Council","Number","69"
"New Dwelling Completion","2015Q4","Fingal County Council","Number","349"
"New Dwelling Completion","2015Q4","Galway County Council","Number","102"
"New Dwelling Completion","2015Q4","Galway City Council","Number","12"
"New Dwelling Completion","2015Q4","Kildare County Council","Number","162"
"New Dwelling Completion","2015Q4","Kilkenny County Council","Number","36"
"New Dwelling Completion","2015Q4","Kerry County Council","Number","65"
"New Dwelling Completion","2015Q4","Longford County Council","Number","12"
"New Dwelling Completion","2015Q4","Louth County Council","Number","47"
"New Dwelling Completion","2015Q4","Limerick City & County Council","Number","79"
"New Dwelling Completion","2015Q4","Leitrim County Council","Number","17"
"New Dwelling Completion","2015Q4","Laois County Council","Number","22"
"New Dwelling Completion","2015Q4","Meath County Council","Number","106"
"New Dwelling Completion","2015Q4","Monaghan County Council","Number","44"
"New Dwelling Completion","2015Q4","Mayo County Council","Number","51"
"New Dwelling Completion","2015Q4","Offaly County Council","Number","20"
"New Dwelling Completion","2015Q4","Roscommon County Council","Number","16"
"New Dwelling Completion","2015Q4","South Dublin County Council","Number","90"
"New Dwelling Completion","2015Q4","Sligo County Council","Number","27"
"New Dwelling Completion","2015Q4","Tipperary County Council","Number","53"
"New Dwelling Completion","2015Q4","Waterford City & County Council","Number","44"
"New Dwelling Completion","2015Q4","Westmeath County Council","Number","28"
"New Dwelling Completion","2015Q4","Wicklow County Council","Number","80"
"New Dwelling Completion","2015Q4","Wexford County Council","Number","92"
"New Dwelling Completion","2016Q1","Cork City Council","Number","68"
"New Dwelling Completion","2016Q1","Clare County Council","Number","37"
"New Dwelling Completion","2016Q1","Cavan County Council","Number","20"
"New Dwelling Completion","2016Q1","Cork County Council","Number","129"
"New Dwelling Completion","2016Q1","Carlow County Council","Number","15"
"New Dwelling Completion","2016Q1","Dublin City Council","Number","176"
"New Dwelling Completion","2016Q1","Dún Laoghaire Rathdown County Council","Number","276"
"New Dwelling Completion","2016Q1","Donegal County Council","Number","57"
"New Dwelling Completion","2016Q1","Fingal County Council","Number","277"
"New Dwelling Completion","2016Q1","Galway County Council","Number","79"
"New Dwelling Completion","2016Q1","Galway City Council","Number","19"
"New Dwelling Completion","2016Q1","Kildare County Council","Number","119"
"New Dwelling Completion","2016Q1","Kilkenny County Council","Number","23"
"New Dwelling Completion","2016Q1","Kerry County Council","Number","42"
"New Dwelling Completion","2016Q1","Longford County Council","Number","15"
"New Dwelling Completion","2016Q1","Louth County Council","Number","38"
"New Dwelling Completion","2016Q1","Limerick City & County Council","Number","58"
"New Dwelling Completion","2016Q1","Leitrim County Council","Number","9"
"New Dwelling Completion","2016Q1","Laois County Council","Number","25"
"New Dwelling Completion","2016Q1","Meath County Council","Number","88"
"New Dwelling Completion","2016Q1","Monaghan County Council","Number","19"
"New Dwelling Completion","2016Q1","Mayo County Council","Number","40"
"New Dwelling Completion","2016Q1","Offaly County Council","Number","18"
"New Dwelling Completion","2016Q1","Roscommon County Council","Number","14"
"New Dwelling Completion","2016Q1","South Dublin County Council","Number","62"
"New Dwelling Completion","2016Q1","Sligo County Council","Number","13"
"New Dwelling Completion","2016Q1","Tipperary County Council","Number","34"
"New Dwelling Completion","2016Q1","Waterford City & County Council","Number","38"
"New Dwelling Completion","2016Q1","Westmeath County Council","Number","24"
"New Dwelling Completion","2016Q1","Wicklow County Council","Number","55"
"New Dwelling Completion","2016Q1","Wexford County Council","Number","57"
"New Dwelling Completion","2016Q2","Cork City Council","Number","68"
"New Dwelling Completion","2016Q2","Clare County Council","Number","50"
"New Dwelling Completion","2016Q2","Cavan County Council","Number","47"
"New Dwelling Completion","2016Q2","Cork County Council","Number","162"
"New Dwelling Completion","2016Q2","Carlow County Council","Number","18"
"New Dwelling Completion","2016Q2","Dublin City Council","Number","236"
"New Dwelling Completion","2016Q2","Dún Laoghaire Rathdown County Council","Number","153"
"New Dwelling Completion","2016Q2","Donegal County Council","Number","83"
"New Dwelling Completion","2016Q2","Fingal County Council","Number","367"
"New Dwelling Completion","2016Q2","Galway County Council","Number","108"
"New Dwelling Completion","2016Q2","Galway City Council","Number","27"
"New Dwelling Completion","2016Q2","Kildare County Council","Number","154"
"New Dwelling Completion","2016Q2","Kilkenny County Council","Number","38"
"New Dwelling Completion","2016Q2","Kerry County Council","Number","67"
"New Dwelling Completion","2016Q2","Longford County Council","Number","15"
"New Dwelling Completion","2016Q2","Louth County Council","Number","58"
"New Dwelling Completion","2016Q2","Limerick City & County Council","Number","64"
"New Dwelling Completion","2016Q2","Leitrim County Council","Number","18"
"New Dwelling Completion","2016Q2","Laois County Council","Number","27"
"New Dwelling Completion","2016Q2","Meath County Council","Number","143"
"New Dwelling Completion","2016Q2","Monaghan County Council","Number","20"
"New Dwelling Completion","2016Q2","Mayo County Council","Number","49"
"New Dwelling Completion","2016Q2","Offaly County Council","Number","18"
"New Dwelling Completion","2016Q2","Roscommon County Council","Number","27"
"New Dwelling Completion","2016Q2","South Dublin County Council","Number","87"
"New Dwelling Completion","2016Q2","Sligo County Council","Number","21"
"New Dwelling Completion","2016Q2","Tipperary County Council","Number","43"
"New Dwelling Completion","2016Q2","Waterford City & County Council","Number","30"
"New Dwelling Completion","2016Q2","Westmeath County Council","Number","21"
"New Dwelling Completion","2016Q2","Wicklow County Council","Number","80"
"New Dwelling Completion","2016Q2","Wexford County Council","Number","82"
"New Dwelling Completion","2016Q3","Cork City Council","Number","54"
"New Dwelling Completion","2016Q3","Clare County Council","Number","55"
"New Dwelling Completion","2016Q3","Cavan County Council","Number","43"
"New Dwelling Completion","2016Q3","Cork County Council","Number","197"
"New Dwelling Completion","2016Q3","Carlow County Council","Number","24"
"New Dwelling Completion","2016Q3","Dublin City Council","Number","253"
"New Dwelling Completion","2016Q3","Dún Laoghaire Rathdown County Council","Number","222"
"New Dwelling Completion","2016Q3","Donegal County Council","Number","74"
"New Dwelling Completion","2016Q3","Fingal County Council","Number","233"
"New Dwelling Completion","2016Q3","Galway County Council","Number","103"
"New Dwelling Completion","2016Q3","Galway City Council","Number","38"
"New Dwelling Completion","2016Q3","Kildare County Council","Number","141"
"New Dwelling Completion","2016Q3","Kilkenny County Council","Number","47"
"New Dwelling Completion","2016Q3","Kerry County Council","Number","77"
"New Dwelling Completion","2016Q3","Longford County Council","Number","13"
"New Dwelling Completion","2016Q3","Louth County Council","Number","39"
"New Dwelling Completion","2016Q3","Limerick City & County Council","Number","60"
"New Dwelling Completion","2016Q3","Leitrim County Council","Number","14"
"New Dwelling Completion","2016Q3","Laois County Council","Number","21"
"New Dwelling Completion","2016Q3","Meath County Council","Number","198"
"New Dwelling Completion","2016Q3","Monaghan County Council","Number","21"
"New Dwelling Completion","2016Q3","Mayo County Council","Number","67"
"New Dwelling Completion","2016Q3","Offaly County Council","Number","19"
"New Dwelling Completion","2016Q3","Roscommon County Council","Number","24"
"New Dwelling Completion","2016Q3","South Dublin County Council","Number","130"
"New Dwelling Completion","2016Q3","Sligo County Council","Number","31"
"New Dwelling Completion","2016Q3","Tipperary County Council","Number","47"
"New Dwelling Completion","2016Q3","Waterford City & County Council","Number","51"
"New Dwelling Completion","2016Q3","Westmeath County Council","Number","30"
"New Dwelling Completion","2016Q3","Wicklow County Council","Number","88"
"New Dwelling Completion","2016Q3","Wexford County Council","Number","56"
"New Dwelling Completion","2016Q4","Cork City Council","Number","86"
"New Dwelling Completion","2016Q4","Clare County Council","Number","85"
"New Dwelling Completion","2016Q4","Cavan County Council","Number","35"
"New Dwelling Completion","2016Q4","Cork County Council","Number","182"
"New Dwelling Completion","2016Q4","Carlow County Council","Number","26"
"New Dwelling Completion","2016Q4","Dublin City Council","Number","223"
"New Dwelling Completion","2016Q4","Dún Laoghaire Rathdown County Council","Number","318"
"New Dwelling Completion","2016Q4","Donegal County Council","Number","75"
"New Dwelling Completion","2016Q4","Fingal County Council","Number","355"
"New Dwelling Completion","2016Q4","Galway County Council","Number","103"
"New Dwelling Completion","2016Q4","Galway City Council","Number","30"
"New Dwelling Completion","2016Q4","Kildare County Council","Number","219"
"New Dwelling Completion","2016Q4","Kilkenny County Council","Number","47"
"New Dwelling Completion","2016Q4","Kerry County Council","Number","63"
"New Dwelling Completion","2016Q4","Longford County Council","Number","16"
"New Dwelling Completion","2016Q4","Louth County Council","Number","65"
"New Dwelling Completion","2016Q4","Limerick City & County Council","Number","86"
"New Dwelling Completion","2016Q4","Leitrim County Council","Number","17"
"New Dwelling Completion","2016Q4","Laois County Council","Number","27"
"New Dwelling Completion","2016Q4","Meath County Council","Number","182"
"New Dwelling Completion","2016Q4","Monaghan County Council","Number","27"
"New Dwelling Completion","2016Q4","Mayo County Council","Number","91"
"New Dwelling Completion","2016Q4","Offaly County Council","Number","30"
"New Dwelling Completion","2016Q4","Roscommon County Council","Number","17"
"New Dwelling Completion","2016Q4","South Dublin County Council","Number","192"
"New Dwelling Completion","2016Q4","Sligo County Council","Number","22"
"New Dwelling Completion","2016Q4","Tipperary County Council","Number","34"
"New Dwelling Completion","2016Q4","Waterford City & County Council","Number","97"
"New Dwelling Completion","2016Q4","Westmeath County Council","Number","30"
"New Dwelling Completion","2016Q4","Wicklow County Council","Number","133"
"New Dwelling Completion","2016Q4","Wexford County Council","Number","67"
"New Dwelling Completion","2017Q1","Cork City Council","Number","95"
"New Dwelling Completion","2017Q1","Clare County Council","Number","58"
"New Dwelling Completion","2017Q1","Cavan County Council","Number","35"
"New Dwelling Completion","2017Q1","Cork County Council","Number","186"
"New Dwelling Completion","2017Q1","Carlow County Council","Number","16"
"New Dwelling Completion","2017Q1","Dublin City Council","Number","225"
"New Dwelling Completion","2017Q1","Dún Laoghaire Rathdown County Council","Number","374"
"New Dwelling Completion","2017Q1","Donegal County Council","Number","76"
"New Dwelling Completion","2017Q1","Fingal County Council","Number","291"
"New Dwelling Completion","2017Q1","Galway County Council","Number","111"
"New Dwelling Completion","2017Q1","Galway City Council","Number","36"
"New Dwelling Completion","2017Q1","Kildare County Council","Number","193"
"New Dwelling Completion","2017Q1","Kilkenny County Council","Number","43"
"New Dwelling Completion","2017Q1","Kerry County Council","Number","54"
"New Dwelling Completion","2017Q1","Longford County Council","Number","9"
"New Dwelling Completion","2017Q1","Louth County Council","Number","76"
"New Dwelling Completion","2017Q1","Limerick City & County Council","Number","77"
"New Dwelling Completion","2017Q1","Leitrim County Council","Number","13"
"New Dwelling Completion","2017Q1","Laois County Council","Number","28"
"New Dwelling Completion","2017Q1","Meath County Council","Number","176"
"New Dwelling Completion","2017Q1","Monaghan County Council","Number","22"
"New Dwelling Completion","2017Q1","Mayo County Council","Number","37"
"New Dwelling Completion","2017Q1","Offaly County Council","Number","31"
"New Dwelling Completion","2017Q1","Roscommon County Council","Number","17"
"New Dwelling Completion","2017Q1","South Dublin County Council","Number","149"
"New Dwelling Completion","2017Q1","Sligo County Council","Number","20"
"New Dwelling Completion","2017Q1","Tipperary County Council","Number","33"
"New Dwelling Completion","2017Q1","Waterford City & County Council","Number","59"
"New Dwelling Completion","2017Q1","Westmeath County Council","Number","22"
"New Dwelling Completion","2017Q1","Wicklow County Council","Number","100"
"New Dwelling Completion","2017Q1","Wexford County Council","Number","90"
"New Dwelling Completion","2017Q2","Cork City Council","Number","76"
"New Dwelling Completion","2017Q2","Clare County Council","Number","49"
"New Dwelling Completion","2017Q2","Cavan County Council","Number","38"
"New Dwelling Completion","2017Q2","Cork County Council","Number","239"
"New Dwelling Completion","2017Q2","Carlow County Council","Number","26"
"New Dwelling Completion","2017Q2","Dublin City Council","Number","319"
"New Dwelling Completion","2017Q2","Dún Laoghaire Rathdown County Council","Number","346"
"New Dwelling Completion","2017Q2","Donegal County Council","Number","94"
"New Dwelling Completion","2017Q2","Fingal County Council","Number","343"
"New Dwelling Completion","2017Q2","Galway County Council","Number","102"
"New Dwelling Completion","2017Q2","Galway City Council","Number","39"
"New Dwelling Completion","2017Q2","Kildare County Council","Number","215"
"New Dwelling Completion","2017Q2","Kilkenny County Council","Number","37"
"New Dwelling Completion","2017Q2","Kerry County Council","Number","79"
"New Dwelling Completion","2017Q2","Longford County Council","Number","18"
"New Dwelling Completion","2017Q2","Louth County Council","Number","61"
"New Dwelling Completion","2017Q2","Limerick City & County Council","Number","88"
"New Dwelling Completion","2017Q2","Leitrim County Council","Number","22"
"New Dwelling Completion","2017Q2","Laois County Council","Number","26"
"New Dwelling Completion","2017Q2","Meath County Council","Number","229"
"New Dwelling Completion","2017Q2","Monaghan County Council","Number","37"
"New Dwelling Completion","2017Q2","Mayo County Council","Number","72"
"New Dwelling Completion","2017Q2","Offaly County Council","Number","34"
"New Dwelling Completion","2017Q2","Roscommon County Council","Number","19"
"New Dwelling Completion","2017Q2","South Dublin County Council","Number","248"
"New Dwelling Completion","2017Q2","Sligo County Council","Number","24"
"New Dwelling Completion","2017Q2","Tipperary County Council","Number","48"
"New Dwelling Completion","2017Q2","Waterford City & County Council","Number","72"
"New Dwelling Completion","2017Q2","Westmeath County Council","Number","29"
"New Dwelling Completion","2017Q2","Wicklow County Council","Number","127"
"New Dwelling Completion","2017Q2","Wexford County Council","Number","82"
"New Dwelling Completion","2017Q3","Cork City Council","Number","90"
"New Dwelling Completion","2017Q3","Clare County Council","Number","84"
"New Dwelling Completion","2017Q3","Cavan County Council","Number","27"
"New Dwelling Completion","2017Q3","Cork County Council","Number","238"
"New Dwelling Completion","2017Q3","Carlow County Council","Number","30"
"New Dwelling Completion","2017Q3","Dublin City Council","Number","528"
"New Dwelling Completion","2017Q3","Dún Laoghaire Rathdown County Council","Number","179"
"New Dwelling Completion","2017Q3","Donegal County Council","Number","95"
"New Dwelling Completion","2017Q3","Fingal County Council","Number","568"
"New Dwelling Completion","2017Q3","Galway County Council","Number","116"
"New Dwelling Completion","2017Q3","Galway City Council","Number","42"
"New Dwelling Completion","2017Q3","Kildare County Council","Number","260"
"New Dwelling Completion","2017Q3","Kilkenny County Council","Number","56"
"New Dwelling Completion","2017Q3","Kerry County Council","Number","84"
"New Dwelling Completion","2017Q3","Longford County Council","Number","23"
"New Dwelling Completion","2017Q3","Louth County Council","Number","114"
"New Dwelling Completion","2017Q3","Limerick City & County Council","Number","95"
"New Dwelling Completion","2017Q3","Leitrim County Council","Number","23"
"New Dwelling Completion","2017Q3","Laois County Council","Number","24"
"New Dwelling Completion","2017Q3","Meath County Council","Number","281"
"New Dwelling Completion","2017Q3","Monaghan County Council","Number","40"
"New Dwelling Completion","2017Q3","Mayo County Council","Number","59"
"New Dwelling Completion","2017Q3","Offaly County Council","Number","36"
"New Dwelling Completion","2017Q3","Roscommon County Council","Number","25"
"New Dwelling Completion","2017Q3","South Dublin County Council","Number","235"
"New Dwelling Completion","2017Q3","Sligo County Council","Number","34"
"New Dwelling Completion","2017Q3","Tipperary County Council","Number","46"
"New Dwelling Completion","2017Q3","Waterford City & County Council","Number","52"
"New Dwelling Completion","2017Q3","Westmeath County Council","Number","41"
"New Dwelling Completion","2017Q3","Wicklow County Council","Number","116"
"New Dwelling Completion","2017Q3","Wexford County Council","Number","87"
"New Dwelling Completion","2017Q4","Cork City Council","Number","140"
"New Dwelling Completion","2017Q4","Clare County Council","Number","61"
"New Dwelling Completion","2017Q4","Cavan County Council","Number","38"
"New Dwelling Completion","2017Q4","Cork County Council","Number","314"
"New Dwelling Completion","2017Q4","Carlow County Council","Number","27"
"New Dwelling Completion","2017Q4","Dublin City Council","Number","485"
"New Dwelling Completion","2017Q4","Dún Laoghaire Rathdown County Council","Number","287"
"New Dwelling Completion","2017Q4","Donegal County Council","Number","99"
"New Dwelling Completion","2017Q4","Fingal County Council","Number","622"
"New Dwelling Completion","2017Q4","Galway County Council","Number","154"
"New Dwelling Completion","2017Q4","Galway City Council","Number","31"
"New Dwelling Completion","2017Q4","Kildare County Council","Number","316"
"New Dwelling Completion","2017Q4","Kilkenny County Council","Number","58"
"New Dwelling Completion","2017Q4","Kerry County Council","Number","86"
"New Dwelling Completion","2017Q4","Longford County Council","Number","25"
"New Dwelling Completion","2017Q4","Louth County Council","Number","120"
"New Dwelling Completion","2017Q4","Limerick City & County Council","Number","209"
"New Dwelling Completion","2017Q4","Leitrim County Council","Number","18"
"New Dwelling Completion","2017Q4","Laois County Council","Number","40"
"New Dwelling Completion","2017Q4","Meath County Council","Number","404"
"New Dwelling Completion","2017Q4","Monaghan County Council","Number","49"
"New Dwelling Completion","2017Q4","Mayo County Council","Number","72"
"New Dwelling Completion","2017Q4","Offaly County Council","Number","32"
"New Dwelling Completion","2017Q4","Roscommon County Council","Number","41"
"New Dwelling Completion","2017Q4","South Dublin County Council","Number","347"
"New Dwelling Completion","2017Q4","Sligo County Council","Number","47"
"New Dwelling Completion","2017Q4","Tipperary County Council","Number","56"
"New Dwelling Completion","2017Q4","Waterford City & County Council","Number","95"
"New Dwelling Completion","2017Q4","Westmeath County Council","Number","40"
"New Dwelling Completion","2017Q4","Wicklow County Council","Number","136"
"New Dwelling Completion","2017Q4","Wexford County Council","Number","86"
"New Dwelling Completion","2018Q1","Cork City Council","Number","120"
"New Dwelling Completion","2018Q1","Clare County Council","Number","56"
"New Dwelling Completion","2018Q1","Cavan County Council","Number","35"
"New Dwelling Completion","2018Q1","Cork County Council","Number","223"
"New Dwelling Completion","2018Q1","Carlow County Council","Number","47"
"New Dwelling Completion","2018Q1","Dublin City Council","Number","328"
"New Dwelling Completion","2018Q1","Dún Laoghaire Rathdown County Council","Number","212"
"New Dwelling Completion","2018Q1","Donegal County Council","Number","86"
"New Dwelling Completion","2018Q1","Fingal County Council","Number","410"
"New Dwelling Completion","2018Q1","Galway County Council","Number","114"
"New Dwelling Completion","2018Q1","Galway City Council","Number","31"
"New Dwelling Completion","2018Q1","Kildare County Council","Number","245"
"New Dwelling Completion","2018Q1","Kilkenny County Council","Number","29"
"New Dwelling Completion","2018Q1","Kerry County Council","Number","92"
"New Dwelling Completion","2018Q1","Longford County Council","Number","14"
"New Dwelling Completion","2018Q1","Louth County Council","Number","125"
"New Dwelling Completion","2018Q1","Limerick City & County Council","Number","125"
