"STATISTIC Label","Quarter","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q3","Tipperary County Council","Number","73"
"New Dwelling Completion","2011Q3","Waterford City & County Council","Number","30"
"New Dwelling Completion","2011Q3","Westmeath County Council","Number","24"
"New Dwelling Completion","2011Q3","Wicklow County Council","Number","60"
"New Dwelling Completion","2011Q3","Wexford County Council","Number","89"
"New Dwelling Completion","2011Q4","Cork City Council","Number","25"
"New Dwelling Completion","2011Q4","Clare County Council","Number","57"
"New Dwelling Completion","2011Q4","Cavan County Council","Number","37"
"New Dwelling Completion","2011Q4","Cork County Council","Number","194"
"New Dwelling Completion","2011Q4","Carlow County Council","Number","38"
"New Dwelling Completion","2011Q4","Dublin City Council","Number","83"
"New Dwelling Completion","2011Q4","Dún Laoghaire Rathdown County Council","Number","17"
"New Dwelling Completion","2011Q4","Donegal County Council","Number","88"
"New Dwelling Completion","2011Q4","Fingal County Council","Number","33"
"New Dwelling Completion","2011Q4","Galway County Council","Number","114"
"New Dwelling Completion","2011Q4","Galway City Council","Number","11"
"New Dwelling Completion","2011Q4","Kildare County Council","Number","76"
"New Dwelling Completion","2011Q4","Kilkenny County Council","Number","54"
"New Dwelling Completion","2011Q4","Kerry County Council","Number","79"
"New Dwelling Completion","2011Q4","Longford County Council","Number","13"
"New Dwelling Completion","2011Q4","Louth County Council","Number","37"
"New Dwelling Completion","2011Q4","Limerick City & County Council","Number","95"
"New Dwelling Completion","2011Q4","Leitrim County Council","Number","16"
"New Dwelling Completion","2011Q4","Laois County Council","Number","33"
"New Dwelling Completion","2011Q4","Meath County Council","Number","68"
"New Dwelling Completion","2011Q4","Monaghan County Council","Number","32"
"New Dwelling Completion","2011Q4","Mayo County Council","Number","88"
"New Dwelling Completion","2011Q4","Offaly County Council","Number","29"
"New Dwelling Completion","2011Q4","Roscommon County Council","Number","31"
"New Dwelling Completion","2011Q4","South Dublin County Council","Number","36"
"New Dwelling Completion","2011Q4","Sligo County Council","Number","24"
"New Dwelling Completion","2011Q4","Tipperary County Council","Number","68"
"New Dwelling Completion","2011Q4","Waterford City & County Council","Number","35"
"New Dwelling Completion","2011Q4","Westmeath County Council","Number","28"
"New Dwelling Completion","2011Q4","Wicklow County Council","Number","47"
"New Dwelling Completion","2011Q4","Wexford County Council","Number","55"
