,Year,County,VALUE
200,2005,Kilkenny,17.3
201,2006,Kilkenny,21.8
202,2007,Kilkenny,25.0
203,2008,Kilkenny,15.0
204,2009,Kilkenny,0.3
205,2010,Kilkenny,-6.4
206,2011,Kilkenny,5.2
207,2012,Kilkenny,4.8
208,2013,Kilkenny,3.5
209,2014,Kilkenny,1.5
210,2015,Kilkenny,-1.1
211,2016,Kilkenny,-2.9
212,2017,Kilkenny,3.7
213,2018,Kilkenny,4.2
214,2019,Kilkenny,4.1
215,2020,Kilkenny,4.1
216,2021,Kilkenny,2.0
217,2022,Kilkenny,4.7
218,2023,Kilkenny,7.0
219,2024,Kilkenny,7.1
220,2003,Laois,16.0
221,2004,Laois,16.4
222,2005,Laois,27.8
223,2006,Laois,35.1
224,2007,Laois,70.1
225,2008,Laois,42.1
226,2009,Laois,0.9
227,2010,Laois,-17.8
228,2011,Laois,12.6
229,2012,Laois,11.7
230,2013,Laois,8.6
231,2014,Laois,3.8
232,2015,Laois,-2.7
233,2016,Laois,-7.1
234,2017,Laois,6.9
235,2018,Laois,7.7
236,2019,Laois,7.5
237,2020,Laois,7.5
238,2021,Laois,3.7
239,2022,Laois,8.6
240,2023,Laois,12.8
241,2024,Laois,13.1
242,2003,Leitrim,18.1
243,2004,Leitrim,18.5
244,2005,Leitrim,31.4
245,2006,Leitrim,39.6
246,2007,Leitrim,33.6
247,2008,Leitrim,20.1
248,2009,Leitrim,0.4
249,2010,Leitrim,-8.5
250,2011,Leitrim,-3.1
251,2012,Leitrim,-2.9
252,2013,Leitrim,-2.1
253,2014,Leitrim,-0.9
254,2015,Leitrim,0.7
255,2016,Leitrim,1.8
256,2017,Leitrim,11.8
257,2018,Leitrim,13.2
258,2019,Leitrim,12.9
259,2020,Leitrim,12.9
260,2021,Leitrim,6.3
261,2022,Leitrim,14.8
262,2023,Leitrim,22.0
263,2024,Leitrim,22.4
264,2003,Limerick,3.6
265,2004,Limerick,3.7
266,2005,Limerick,6.3
267,2006,Limerick,8.0
268,2007,Limerick,-2.9
269,2008,Limerick,-1.8
270,2009,Limerick,-0.0
271,2010,Limerick,0.7
272,2011,Limerick,-10.1
273,2012,Limerick,-9.4
274,2013,Limerick,-6.9
275,2014,Limerick,-3.0
276,2015,Limerick,2.2
277,2016,Limerick,5.7
278,2017,Limerick,7.1
279,2018,Limerick,7.9
280,2019,Limerick,7.8
281,2020,Limerick,7.8
282,2021,Limerick,3.8
283,2022,Limerick,8.9
284,2023,Limerick,13.2
285,2024,Limerick,13.5
286,2003,Longford,12.8
287,2004,Longford,13.1
288,2005,Longford,22.3
289,2006,Longford,28.1
290,2007,Longford,44.2
291,2008,Longford,26.5
292,2009,Longford,0.6
293,2010,Longford,-11.2
294,2011,Longford,9.8
295,2012,Longford,9.2
296,2013,Longford,6.7
297,2014,Longford,3.0
298,2015,Longford,-2.1
299,2016,Longford,-5.6
300,2017,Longford,16.5
301,2018,Longford,18.5
302,2019,Longford,18.1
303,2020,Longford,18.1
304,2021,Longford,8.9
305,2022,Longford,20.7
306,2023,Longford,30.7
307,2024,Longford,31.3
308,2003,Louth,8.8
309,2004,Louth,9.0
310,2005,Louth,15.3
311,2006,Louth,19.3
312,2007,Louth,29.2
313,2008,Louth,17.5
314,2009,Louth,0.4
315,2010,Louth,-7.4
316,2011,Louth,6.0
317,2012,Louth,5.6
318,2013,Louth,4.1
319,2014,Louth,1.8
320,2015,Louth,-1.3
321,2016,Louth,-3.4
322,2017,Louth,7.3
323,2018,Louth,8.2
324,2019,Louth,8.0
325,2020,Louth,8.0
326,2021,Louth,3.9
327,2022,Louth,9.1
328,2023,Louth,13.5
329,2024,Louth,13.8
330,2003,Mayo,6.4
